"replicate","prior","correlation","mse","centers"
"1","equal",-1,0.998856552584661,"1"
"1","equal",-0.9,1.0042993082496,"1"
"1","equal",-0.8,1.00647947447073,"1"
"1","equal",-0.7,1.00805980703647,"1"
"1","equal",-0.6,1.00930058315453,"1"
"1","equal",-0.5,1.01030328833481,"1"
"1","equal",-0.4,1.01111949506889,"1"
"1","equal",-0.3,1.01177885450282,"1"
"1","equal",-0.2,1.01229935310106,"1"
"1","equal",-0.1,1.01269182148565,"1"
"1","equal",0,1.01296209600369,"1"
"1","equal",0.1,1.01311202356833,"1"
"1","equal",0.2,1.01313975726641,"1"
"1","equal",0.3,1.01303946075084,"1"
"1","equal",0.4,1.01280030339958,"1"
"1","equal",0.5,1.01240429874818,"1"
"1","equal",0.6,1.01182179565057,"1"
"1","equal",0.7,1.01100122161518,"1"
"1","equal",0.8,1.00984109113212,"1"
"1","equal",0.9,1.00808112699366,"1"
"1","equal",1,1.0030585734114,"1"
"1","equal",-1,0.363916695665497,"2"
"1","equal",-0.9,0.495576065367736,"2"
"1","equal",-0.8,0.628659933326193,"2"
"1","equal",-0.7,0.753939113346943,"2"
"1","equal",-0.6,0.87984293166609,"2"
"1","equal",-0.5,1.00952846629784,"2"
"1","equal",-0.4,1.13559304469701,"2"
"1","equal",-0.3,1.26000095341725,"2"
"1","equal",-0.2,1.38348987803864,"2"
"1","equal",-0.1,1.50575334482671,"2"
"1","equal",0,1.62903063966035,"2"
"1","equal",0.1,1.50797993408865,"2"
"1","equal",0.2,1.37197560848481,"2"
"1","equal",0.3,1.2469053646617,"2"
"1","equal",0.4,1.12808596649516,"2"
"1","equal",0.5,0.998217410853855,"2"
"1","equal",0.6,0.872548167091251,"2"
"1","equal",0.7,0.739775048665032,"2"
"1","equal",0.8,0.609674190072826,"2"
"1","equal",0.9,0.483099517696646,"2"
"1","equal",1,0.358749346276375,"2"
"1","equal",-1,0.188011780847426,"3"
"1","equal",-0.9,0.356660703597458,"3"
"1","equal",-0.8,0.544332848387362,"3"
"1","equal",-0.7,0.742873520474519,"3"
"1","equal",-0.6,0.969922258848004,"3"
"1","equal",-0.5,1.19907947118261,"3"
"1","equal",-0.4,1.44508327496373,"3"
"1","equal",-0.3,1.68973289441176,"3"
"1","equal",-0.2,1.94710489731017,"3"
"1","equal",-0.1,2.18894610012144,"3"
"1","equal",0,1.69312934934202,"3"
"1","equal",0.1,2.17788156723076,"3"
"1","equal",0.2,1.93161947532173,"3"
"1","equal",0.3,1.67962393571751,"3"
"1","equal",0.4,1.44649000524362,"3"
"1","equal",0.5,1.19531047465172,"3"
"1","equal",0.6,0.967685112024399,"3"
"1","equal",0.7,0.756127858398627,"3"
"1","equal",0.8,0.553329052456207,"3"
"1","equal",0.9,0.362596341407332,"3"
"1","equal",1,0.188861948318741,"3"
"1","equal",-1,0.11866272191269,"4"
"1","equal",-0.9,0.307783324763082,"4"
"1","equal",-0.8,0.527254777376601,"4"
"1","equal",-0.7,0.780614293378324,"4"
"1","equal",-0.6,1.05885663107112,"4"
"1","equal",-0.5,1.36952291730097,"4"
"1","equal",-0.4,1.71338119452909,"4"
"1","equal",-0.3,2.093404642714,"4"
"1","equal",-0.2,2.45948461518292,"4"
"1","equal",-0.1,2.83874177295499,"4"
"1","equal",0,2.32815928035188,"4"
"1","equal",0.1,2.7895902593116,"4"
"1","equal",0.2,2.42027057116867,"4"
"1","equal",0.3,2.0639516881513,"4"
"1","equal",0.4,1.69367280981239,"4"
"1","equal",0.5,1.36764121029496,"4"
"1","equal",0.6,1.06290212102255,"4"
"1","equal",0.7,0.775377996478901,"4"
"1","equal",0.8,0.520820398614716,"4"
"1","equal",0.9,0.300373109001763,"4"
"1","equal",1,0.114434320426195,"4"
"1","equal",-1,0.0802399620503949,"5"
"1","equal",-0.9,0.283938516915653,"5"
"1","equal",-0.8,0.521319538522955,"5"
"1","equal",-0.7,0.814249308066039,"5"
"1","equal",-0.6,1.14598958552351,"5"
"1","equal",-0.5,1.52291482336234,"5"
"1","equal",-0.4,1.96717138916793,"5"
"1","equal",-0.3,2.43721969594667,"5"
"1","equal",-0.2,2.9217240450621,"5"
"1","equal",-0.1,3.4284616009522,"5"
"1","equal",0,2.35264313941694,"5"
"1","equal",0.1,3.40718529767614,"5"
"1","equal",0.2,2.88600128037693,"5"
"1","equal",0.3,2.3734433213698,"5"
"1","equal",0.4,1.90448400013641,"5"
