"","replicate","U_x","U_y","k"
"1",1,0,0,1
"2",2,0,0,1
"3",3,0,0,1
"4",4,0,0,1
"5",5,0,0,1
"6",6,0,0,1
"7",7,0,0,1
"8",8,0,0,1
"9",9,0,0,1
"10",10,0,0,1
"11",1,0,0.1,1
"12",2,0,0.1,1
"13",3,0,0.1,1
"14",4,0,0.1,1
"15",5,0,0.1,1
"16",6,0,0.1,1
"17",7,0,0.1,1
"18",8,0,0.1,1
"19",9,0,0.1,1
"20",10,0,0.1,1
"21",1,0,0.2,1
"22",2,0,0.2,1
"23",3,0,0.2,1
"24",4,0,0.2,1
"25",5,0,0.2,1
"26",6,0,0.2,1
"27",7,0,0.2,1
"28",8,0,0.2,1
"29",9,0,0.2,1
"30",10,0,0.2,1
"31",1,0,0.3,1
"32",2,0,0.3,1
"33",3,0,0.3,1
"34",4,0,0.3,1
"35",5,0,0.3,1
"36",6,0,0.3,1
"37",7,0,0.3,1
"38",8,0,0.3,1
"39",9,0,0.3,1
"40",10,0,0.3,1
"41",1,0,0.4,1
"42",2,0,0.4,1
"43",3,0,0.4,1
"44",4,0,0.4,1
"45",5,0,0.4,1
"46",6,0,0.4,1
"47",7,0,0.4,1
"48",8,0,0.4,1
"49",9,0,0.4,1
"50",10,0,0.4,1
"51",1,0,0.5,1
"52",2,0,0.5,1
"53",3,0,0.5,1
"54",4,0,0.5,1
"55",5,0,0.5,1
"56",6,0,0.5,1
"57",7,0,0.5,1
"58",8,0,0.5,1
"59",9,0,0.5,1
"60",10,0,0.5,1
"61",1,0,0.6,1
"62",2,0,0.6,1
"63",3,0,0.6,1
"64",4,0,0.6,1
"65",5,0,0.6,1
"66",6,0,0.6,1
"67",7,0,0.6,1
"68",8,0,0.6,1
"69",9,0,0.6,1
"70",10,0,0.6,1
"71",1,0,0.7,1
"72",2,0,0.7,1
"73",3,0,0.7,1
"74",4,0,0.7,1
"75",5,0,0.7,1
"76",6,0,0.7,1
"77",7,0,0.7,1
"78",8,0,0.7,1
"79",9,0,0.7,1
"80",10,0,0.7,1
"81",1,0,0.8,1
"82",2,0,0.8,1
"83",3,0,0.8,1
"84",4,0,0.8,1
"85",5,0,0.8,1
"86",6,0,0.8,1
"87",7,0,0.8,1
"88",8,0,0.8,1
"89",9,0,0.8,1
"90",10,0,0.8,1
"91",1,0,0.9,1
"92",2,0,0.9,1
"93",3,0,0.9,1
"94",4,0,0.9,1
"95",5,0,0.9,1
"96",6,0,0.9,1
"97",7,0,0.9,1
"98",8,0,0.9,1
"99",9,0,0.9,1
"100",10,0,0.9,1
"101",1,0,1,1
"102",2,0,1,1
"103",3,0,1,1
