"Type" "Class"
"1" "YAL040C" "1"
"2" "YAL062W" "2"
"3" "YAL067C" "2"
"4" "YAR007C" "1"
"5" "YBL023C" "1"
"6" "YBL027W" "4"
"7" "YBL035C" "1"
"8" "YBL038W" "4"
"9" "YBL072C" "4"
"10" "YBL087C" "4"
"11" "YBL087C" "4"
"12" "YBL090W" "4"
"13" "YBL092W" "4"
"14" "YBR031W" "4"
"15" "YBR048W" "4"
"16" "YBR048W" "4"
"17" "YBR060C" "1"
"18" "YBR084C" "4"
"19" "YBR087W" "1"
"20" "YBR088C" "1"
"21" "YBR109C" "3"
"22" "YBR122C" "4"
"23" "YBR160W" "1"
"24" "YBR181C" "4"
"25" "YBR189W" "4"
"26" "YBR191W" "4"
"27" "YBR195C" "1"
"28" "YBR202W" "1"
"29" "YBR213W" "2"
"30" "YBR268W" "4"
"31" "YCR028C" "1"
"32" "YCR028C" "2"
"33" "YCR031C" "4"
"34" "YDL061C" "4"
"35" "YDL061C" "4"
"36" "YDL075W" "4"
"37" "YDL075W" "4"
"38" "YDL081C" "4"
"39" "YDL082W" "4"
"40" "YDL083C" "4"
"41" "YDL102W" "1"
"42" "YDL130W" "4"
"43" "YDL136W" "4"
"44" "YDL164C" "1"
"45" "YDL191W" "4"
"46" "YDL202W" "4"
"47" "YDL208W" "4"
"48" "YDL210W" "2"
"49" "YDL215C" "2"
"50" "YDR012W" "4"
"51" "YDR025W" "4"
"52" "YDR025W" "4"
"53" "YDR064W" "4"
"54" "YDR111C" "2"
"55" "YDR116C" "4"
"56" "YDR206W" "1"
"57" "YDR207C" "2"
"58" "YDR253C" "2"
"59" "YDR322W" "4"
"60" "YDR337W" "4"
"61" "YDR347W" "4"
"62" "YDR353W" "2"
"63" "YDR364C" "1"
"64" "YDR382W" "4"
"65" "YDR405W" "4"
"66" "YDR418W" "4"
"67" "YDR447C" "4"
"68" "YDR450W" "4"
"69" "YDR471W" "4"
"70" "YDR500C" "4"
"71" "YEL032W" "1"
"72" "YEL062W" "2"
"73" "YER018C" "3"
"74" "YER056C" "4"
"75" "YER070W" "1"
"76" "YER074W" "4"
"77" "YER074W" "4"
"78" "YER102W" "4"
"79" "YER117W" "4"
"80" "YER131W" "4"
"81" "YFL036W" "1"
"82" "YFR030W" "2"
"83" "YGL093W" "3"
"84" "YGL125W" "4"
"85" "YGL201C" "1"
"86" "YGR019W" "2"
"87" "YGR109C" "1"
"88" "YGR118W" "4"
"89" "YGR180C" "1"
"90" "YGR214W" "4"
"91" "YHL001W" "4"
"92" "YHR141C" "4"
"93" "YHR147C" "4"
"94" "YHR172W" "3"
"95" "YIL069C" "4"
"96" "YIL144W" "3"
"97" "YIL150C" "1"
"98" "YIR017C" "2"
"99" "YIR029W" "2"
"100" "YIR032C" "2"
"101" "YJL035C" "2"
"102" "YJL060W" "2"
"103" "YJL063C" "4"
"104" "YJL096W" "4"
"105" "YJL136C" "4"
"106" "YJL172W" "2"
"107" "YJL173C" "1"
"108" "YJL177W" "4"
"109" "YJL177W" "4"
"110" "YJL189W" "4"
"111" "YJL190C" "4"
"112" "YJL191W" "4"
"113" "YJL194W" "1"
"114" "YJR006W" "1"
"115" "YJR010W" "2"
"116" "YJR043C" "1"
"117" "YJR094W" "4"
"118" "YJR123W" "4"
"119" "YJR137C" "2"
"120" "YJR145C" "4"
"121" "YJR149W" "2"
"122" "YKL001C" "2"
"123" "YKL006W" "4"
"124" "YKL042W" "3"
"125" "YKL045W" "1"
"126" "YKL112W" "1"
"127" "YKL112W" "2"
"128" "YKL113C" "1"
"129" "YKL156W" "4"
"130" "YKL180W" "4"
"131" "YKR054C" "3"
"132" "YKR057W" "4"
"133" "YKR094C" "4"
"134" "YKR094C" "4"
"135" "YLL004W" "1"
"136" "YLL045C" "4"
"137" "YLR029C" "4"
"138" "YLR045C" "3"
